ID_SAMPLE	d13C_bget_AVE	d13C_bget_SD	d13C_bget_n	d13C_totet_AVE	d13C_totet_SD	d13C_totet_n	conc_totet_AVE	conc_totet_SD
EXP5-48	9.31	0.09	2	5.44	NA	1	5.8	1.9
EXP1-10B_CTRL	9.49	0.08	2	16.07	NA	1	8.9	0.5
EXP5-45	9.31	0.09	2	7.21	NA	1	6.5	1.9
EXP6-13	8.55	0.49	2	8.87	NA	1	4.1	1.2
EXP6-04	8.55	0.49	2	8.37	NA	1	3.6	1.2
EXP5-52	9.31	0.09	2	8.33	NA	1	5.3	1.9
EXP6-14	8.55	0.49	2	9.50	NA	1	3.7	1.2
EXP1-3C_CTRL	9.49	0.08	2	3.78	NA	1	9.9	0.5
EXP5-49	9.31	0.09	2	4.47	NA	1	8.6	1.9
EXP5-44	9.31	0.09	2	6.29	NA	1	6.2	1.9
EXP6-15	8.55	0.49	2	8.66	NA	1	4.1	1.2
EXP6-11	8.55	0.49	2	9.31	NA	1	3.8	1.2
EXP9D-16	9.27	NA	1	4.89	NA	1	7.6	0.7
EXP6-05	8.55	0.49	2	9.27	NA	1	3.4	1.2
EXP1-9B_CTRL	9.49	0.08	2	4.14	NA	1	6.6	0.5
EXP5-47	9.31	0.09	2	8.04	NA	1	9.6	1.9
EXP1-6A_Mo	9.49	0.08	2	3.02	NA	1	8.6	0.5
EXP9C-16	9.27	NA	1	7.57	NA	1	9.1	0.7
EXP1-4C_CTRL	9.49	0.08	2	3.45	NA	1	9.4	0.5
EXP1-1B_Mo	9.49	0.08	2	4.42	NA	1	8.3	0.5
EXP1-10A_CTRL	9.49	0.08	2	3.47	NA	1	9.7	0.5
EXP1-6C_Mo	9.49	0.08	2	4.85	NA	1	7.2	0.5
EXP1-1C_CTRL	9.49	0.08	2	4.25	NA	1	6.3	0.5
EXP3-NC06_Mo	9.01	0.14	2	7.91	NA	1	9.5	0.1
EXP1-10A_Mo	9.49	0.08	2	3.38	NA	1	9.7	0.5
EXP9C-09	9.27	NA	1	7.49	NA	1	8.6	0.7
EXP1-9B_Mo	9.49	0.08	2	4.86	NA	1	8.5	0.5
EXP1-10B_Mo	9.49	0.08	2	6.50	NA	1	6.4	0.5
EXP5-51	9.31	0.09	2	5.19	NA	1	6.2	1.9
EXP9C-07	9.27	NA	1	9.26	NA	1	6.2	0.7
EXP3-SFLit04_Mo	9.01	0.14	2	6.46	NA	1	9.6	0.1
EXP3-SFLit07_Mo	9.01	0.14	2	7.85	NA	1	8.8	0.1
EXP3-WS04_Mo	9.01	0.14	2	10.84	NA	1	4.7	0.1
EZIAS_St1High-LL_Mo	9.23	NA	1	2.28	NA	1	6.5	1.6
EZIAS_St7High-LL_CTRL	9.23	NA	1	1.54	NA	1	7.4	1.6
EZIAS_St6-SO_CTRL	9.23	NA	1	8.44	NA	1	7.9	1.6
EZIAS_St3-SO_CTRL	9.23	NA	1	11.37	NA	1	7.9	1.6
EZIAS_St2-SO_CTRL	9.23	NA	1	7.36	NA	1	8.2	1.6
EZIAS_St4High-LL_CTRL	9.23	NA	1	-0.04	NA	1	8.2	1.6
EZIAS_St1-SO_CTRL	9.23	NA	1	6.68	NA	1	9.5	1.6
EXP9C-28	9.27	NA	1	7.41	NA	1	13.9	0.7
EXP9C-19	9.27	NA	1	7.83	NA	1	16.3	0.7
EXP9C-18	9.27	NA	1	7.62	NA	1	18.0	0.7
EXP5-23	9.31	0.09	2	5.12	0.29	2	36.5	1.9
MM29	10.56	1.08	3	7.58	NA	1	10.1	0.5
EXP5-55	9.31	0.09	2	2.12	NA	1	311.3	1.9
EXP5-57	9.31	0.09	2	1.39	NA	1	654.1	1.9
EXP1-5A_Mo	9.49	0.08	2	1.32	0.90	2	26.9	0.5
EXP1-10C_CTRL	9.49	0.08	2	0.72	NA	1	26.2	0.5
EXP5-30	9.31	0.09	2	1.06	NA	1	233.0	1.9
MM47	10.56	1.08	3	2.51	NA	1	59.4	0.5
MM46	10.56	1.08	3	2.35	NA	1	72.5	0.5
EXP5-32	9.31	0.09	2	2.04	0.81	2	121.4	1.9
EXP5-21	9.31	0.09	2	3.64	0.44	2	36.2	1.9
EXP8-43	8.78	0.30	2	-0.06	NA	1	508.2	1.9
EXP8-09	8.78	0.30	2	6.68	NA	1	21.4	1.9
EXP1-7C_Mo	9.49	0.08	2	0.99	NA	1	23.9	0.5
EXP5-19	9.31	0.09	2	3.12	NA	1	19.6	1.9
EXP1-7B_CTRL	9.49	0.08	2	3.26	NA	1	11.2	0.5
EXP1-8A_CTRL	9.49	0.08	2	3.41	NA	1	10.4	0.5
EXP8-69	8.78	0.30	2	11.36	NA	1	21.7	1.9
EXP3-NC09_Mo	9.01	0.14	2	3.32	NA	1	30.2	0.1
EXP5-31	9.31	0.09	2	1.76	NA	1	132.4	1.9
MM55	10.56	1.08	3	3.05	NA	1	31.0	0.5
EXP5-29	9.31	0.09	2	1.70	NA	1	151.3	1.9
MM56	10.56	1.08	3	3.93	NA	1	29.4	0.5
EXP8-44	8.78	0.30	2	-0.41	NA	1	386.2	1.9
EXP1-4A_CTRL	9.49	0.08	2	2.84	NA	1	11.6	0.5
EXP5-20	9.31	0.09	2	3.07	NA	1	17.1	1.9
EXP5-33	9.31	0.09	2	1.80	NA	1	163.3	1.9
EXP5-46	9.31	0.09	2	3.82	NA	1	10.6	1.9
EXP5-08	9.31	0.09	2	3.70	NA	1	10.0	1.9
EXP1-5C_CTRL	9.49	0.08	2	2.93	NA	1	11.2	0.5
EXP5-22	9.31	0.09	2	1.95	NA	1	32.2	1.9
EXP1-5A_CTRL	9.49	0.08	2	3.50	NA	1	15.6	0.5
EXP1-3A_CTRL	9.49	0.08	2	4.95	NA	1	10.1	0.5
EXP1-7A_CTRL	9.49	0.08	2	1.29	NA	1	23.2	0.5
EXP9C-06	9.27	NA	1	7.73	NA	1	10.8	0.7
EXP3-NC09_CTRL	9.01	0.14	2	3.58	NA	1	28.3	0.1
EXP1-5B_Mo	9.49	0.08	2	2.84	NA	1	12.1	0.5
EXP1-8C_Mo	9.49	0.08	2	3.29	NA	1	11.1	0.5
EXP8-46	8.78	0.30	2	3.12	NA	1	506.9	1.9
EXP6-25	8.55	0.49	2	2.13	NA	1	2024.3	6.5
EXP6-21	8.55	0.49	2	1.74	NA	1	1966.1	6.5
EXP6-42	8.55	0.49	2	-0.09	NA	1	332.6	6.5
EXP1-8A_Mo	9.49	0.08	2	3.32	NA	1	11.3	0.5
EXP6-45	8.55	0.49	2	-0.36	NA	1	398.3	6.5
EXP1-4C_Mo	9.49	0.08	2	3.04	NA	1	11.6	0.5
EXP1-1B_CTRL	9.49	0.08	2	3.00	NA	1	15.8	0.5
EXP6-43	8.55	0.49	2	0.24	NA	1	615.0	6.5
EXP3-NC02_Mo	9.01	0.14	2	8.83	NA	1	16.4	0.1
EXP1-3C_Mo	9.49	0.08	2	5.51	0.20	2	11.3	0.5
EXP1-4A_Mo	9.49	0.08	2	2.87	NA	1	13.6	0.5
EXP1-10C_Mo	9.49	0.08	2	5.95	NA	1	18.6	0.5
EXP3-NC05_Mo	9.01	0.14	2	7.70	NA	1	18.2	0.1
EXP6-44	8.55	0.49	2	1.05	NA	1	703.3	6.5
EXP6-22	8.55	0.49	2	2.55	NA	1	2835.3	6.5
EXP3-SFLit01_Mo	9.01	0.14	2	5.73	NA	1	17.6	0.1
EXP6-24	8.55	0.49	2	2.26	NA	1	2066.5	6.5
EXP1-3A_Mo	9.49	0.08	2	3.42	NA	1	13.9	0.5
EXP1-7C_CTRL	9.49	0.08	2	3.38	NA	1	17.7	0.5
EXP3-NC02_CTRL	9.01	0.14	2	8.09	NA	1	18.6	0.1
EXP8-01	8.78	0.30	2	4.90	NA	1	16.8	1.9
EXP1-1A_Mo	9.49	0.08	2	2.83	NA	1	18.0	0.5
EXP1-4B_Mo	9.49	0.08	2	3.11	NA	1	19.4	0.5
EXP1-7B_Mo	9.49	0.08	2	4.24	NA	1	10.1	0.5
EXP1-8B_Mo	9.49	0.08	2	3.80	NA	1	13.5	0.5
EXP3-SFLit07_CTRL	9.01	0.14	2	4.73	NA	1	10.0	0.1
