""	"d13C_bget_AVE"	"d13C_bget_SD"	"d13C_bget_n"	"d13C_totet_AVE"	"d13C_totet_SD"	"d13C_totet_n"	"conc_totet_AVE"	"conc_totet_SD"	"MC_AVE"	"MC_SD"
"EXP5-48"	9.31	0.09	2	5.44	NA	1	5.8	1.9	24.9	16.8
"EXP1-10B_CTRL"	9.49	0.08	2	16.07	NA	1	8.9	0.5	291.4	36.7
"EXP5-45"	9.31	0.09	2	7.21	NA	1	6.5	1.9	93.2	15.5
"EXP6-13"	8.55	0.49	2	8.87	NA	1	4.1	1.2	134.7	18.6
"EXP6-04"	8.55	0.49	2	8.37	NA	1	3.6	1.2	120.5	17.4
"EXP5-52"	9.31	0.09	2	8.33	NA	1	5.3	1.9	114.1	16.9
"EXP6-14"	8.55	0.49	2	9.5	NA	1	3.7	1.2	157.8	21.2
"EXP1-3C_CTRL"	9.49	0.08	2	3.78	NA	1	9.9	0.5	13.7	15
"EXP5-49"	9.31	0.09	2	4.47	NA	1	8.6	1.9	31.5	14.6
"EXP5-44"	9.31	0.09	2	6.29	NA	1	6.2	1.9	71.7	14.6
"EXP6-15"	8.55	0.49	2	8.66	NA	1	4.1	1.2	130.2	18.2
"EXP6-11"	8.55	0.49	2	9.31	NA	1	3.8	1.2	151	20.3
"EXP9D-16"	9.27	NA	1	4.89	NA	1	7.6	0.7	26.2	15
"EXP6-05"	8.55	0.49	2	9.27	NA	1	3.4	1.2	58.3	546.3
"EXP1-9B_CTRL"	9.49	0.08	2	4.14	NA	1	6.6	0.5	-7.3	18.6
"EXP5-47"	9.31	0.09	2	8.04	NA	1	9.6	1.9	109.9	16.6
"EXP1-6A_Mo"	9.49	0.08	2	3.02	NA	1	8.6	0.5	-5.7	16.6
"EXP9C-16"	9.27	NA	1	7.57	NA	1	9.1	0.7	100.5	15.9
"EXP1-4C_CTRL"	9.49	0.08	2	3.45	NA	1	9.4	0.5	3.9	16.2
"EXP1-1B_Mo"	9.49	0.08	2	4.42	NA	1	8.3	0.5	25.9	14.8
"EXP1-10A_CTRL"	9.49	0.08	2	3.47	NA	1	9.7	0.5	10.2	15.4
"EXP1-6C_Mo"	9.49	0.08	2	4.85	NA	1	7.2	0.5	22.5	15.2
"EXP1-1C_CTRL"	9.49	0.08	2	4.25	NA	1	6.3	0.5	6.7	16.6
"EXP3-NC06_Mo"	9.01	0.14	2	7.91	NA	1	9.5	0.1	109.2	16.5
"EXP1-10A_Mo"	9.49	0.08	2	3.38	NA	1	9.7	0.5	4.4	15.5
"EXP9C-09"	9.27	NA	1	7.49	NA	1	8.6	0.7	96.1	15.7
"EXP1-9B_Mo"	9.49	0.08	2	4.86	NA	1	8.5	0.5	36.2	14.6
"EXP1-10B_Mo"	9.49	0.08	2	6.5	NA	1	6.4	0.5	62.4	14.6
"EXP5-51"	9.31	0.09	2	5.19	NA	1	6.2	1.9	42.5	14.2
"EXP9C-07"	9.27	NA	1	9.26	NA	1	6.2	0.7	137.5	18.8
"EXP3-SFLit04_Mo"	9.01	0.14	2	6.46	NA	1	9.6	0.1	76.6	14.7
"EXP3-SFLit07_Mo"	9.01	0.14	2	7.85	NA	1	8.8	0.1	107.1	16.4
"EXP3-WS04_Mo"	9.01	0.14	2	10.84	NA	1	4.7	0.1	192.1	25.3
"EZIAS_St1High-LL_Mo"	9.23	NA	1	2.28	NA	1	6.5	1.6	-40.9	19.8
"EZIAS_St7High-LL_CTRL"	9.23	NA	1	1.54	NA	1	7.4	1.6	-27.4	17.3
"EZIAS_St6-SO_CTRL"	9.23	NA	1	8.44	NA	1	7.9	1.6	119.3	17.3
"EZIAS_St3-SO_CTRL"	9.23	NA	1	11.37	NA	1	7.9	1.6	195.2	25.1
"EZIAS_St2-SO_CTRL"	9.23	NA	1	7.36	NA	1	8.2	1.6	92.7	15.5
"EZIAS_St4High-LL_CTRL"	9.23	NA	1	-0.04	NA	1	8.2	1.6	-110.7	29.4
"EZIAS_St1-SO_CTRL"	9.23	NA	1	6.68	NA	1	9.5	1.6	81.1	14.9
"EXP9C-28"	9.27	NA	1	7.41	NA	1	13.9	0.7	99.4	15.8
"EXP9C-19"	9.27	NA	1	7.83	NA	1	16.3	0.7	109.1	16.5
"EXP9C-18"	9.27	NA	1	7.62	NA	1	18	0.7	105.6	16.2
"EXP5-23"	9.31	0.09	2	5.12	0.29	2	36.5	1.9	61.2	14.9
"MM29"	10.56	1.08	3	7.58	NA	1	10.1	0.5	95	15.7
"EXP5-55"	9.31	0.09	2	2.12	NA	1	311.3	1.9	14	14.4
"EXP5-57"	9.31	0.09	2	1.39	NA	1	654.1	1.9	1.9	15
"EXP1-5A_Mo"	9.49	0.08	2	1.32	0.9	2	26.9	0.5	-5.4	23.3
"EXP1-10C_CTRL"	9.49	0.08	2	0.72	NA	1	26.2	0.5	-22.6	16.6
"EXP5-30"	9.31	0.09	2	1.06	NA	1	233	1.9	-4.7	15.3
"MM47"	10.56	1.08	3	2.51	NA	1	59.4	0.5	16.4	14.4
